,Time,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other
0,00:00,1,2492,896,316,214,198,16,2260,7790,973,-146,8414,0
1,00:05,0,2473,897,317,214,188,17,2261,7999,1179,55,7901,0
2,00:10,1,2471,896,317,214,173,17,2260,7826,1259,74,7688,0
3,00:15,1,2471,895,318,214,183,17,2260,7938,1272,113,7498,0
4,00:20,1,2450,896,316,214,183,18,2260,7965,1259,91,7427,0
5,00:25,1,2447,896,315,214,182,18,2260,7917,1226,-20,7410,0
6,00:30,1,2468,896,315,214,183,17,2260,7950,1221,-54,7382,0
7,00:35,0,2476,896,316,213,182,17,2260,7962,1216,-45,7278,0
8,00:40,1,2529,896,317,214,182,17,2259,7931,1206,-106,7217,0
9,00:45,0,2532,895,316,214,181,16,2259,7988,1079,-196,7379,0
10,00:50,0,2517,895,315,214,181,17,2259,8110,995,-181,7340,0
11,00:55,1,2436,895,307,214,167,16,2259,8136,983,-95,7288,0
12,01:00,1,2446,895,302,214,165,17,2259,8168,996,-72,7152,0
13,01:05,1,2506,895,301,214,165,17,2258,8135,972,-164,7259,0
14,01:10,1,2535,895,303,214,165,17,2258,8130,946,-169,7254,0
15,01:15,1,2523,895,302,214,166,17,2258,8127,961,-149,7223,0
16,01:20,1,2492,895,300,214,166,17,2257,8091,965,-160,7208,0
17,01:25,1,2475,894,301,214,167,17,2258,8055,966,-178,7225,0
18,01:30,0,2475,895,302,214,167,18,2259,7998,988,-160,7200,0
19,01:35,0,2481,895,300,214,166,17,2258,7953,985,-187,7187,0
20,01:40,0,2522,895,300,214,166,17,2258,7959,967,-214,7161,0
21,01:45,0,2517,894,299,213,165,17,2258,7929,961,-217,7183,0
22,01:50,0,2518,895,299,213,165,18,2258,7880,961,-216,7203,0
23,01:55,0,2518,895,300,214,166,17,2258,7837,962,-216,7208,0
24,02:00,0,2527,896,300,214,166,17,2258,7846,951,-234,7169,0
25,02:05,0,2626,897,300,213,166,17,2258,7717,923,-210,7152,0
26,02:10,0,2778,896,298,214,166,16,2257,7622,890,-202,7083,0
27,02:15,0,2917,896,299,214,166,16,2258,7535,886,-241,7087,0
28,02:20,0,3030,896,300,214,166,17,2258,7502,891,-323,7187,0
29,02:25,0,3100,898,300,214,165,17,2258,7365,898,-249,7121,0
30,02:30,0,3107,898,301,214,165,16,2257,7235,927,-194,7077,0
31,02:35,0,3080,897,302,214,165,17,2258,7299,945,-230,7011,0
32,02:40,0,3010,898,301,214,165,17,2258,7289,1037,-214,7032,0
33,02:45,0,2970,897,301,214,165,16,2258,7246,1046,-226,7046,0
34,02:50,0,2919,896,300,214,165,16,2258,7233,1035,-164,7049,0
35,02:55,0,2874,897,300,214,166,17,2258,7277,977,-161,7040,0
36,03:00,0,2853,896,300,215,166,16,2258,7379,942,-179,7004,0
37,03:05,-1,2832,896,302,214,167,16,2257,7505,911,-222,7057,0
38,03:10,0,2807,896,302,214,185,16,2258,7608,906,-213,7035,0
39,03:15,0,2772,896,304,214,187,16,2258,7705,896,-267,6961,0
40,03:20,0,2688,895,305,214,187,17,2257,7736,899,-175,6909,0
41,03:25,0,2630,895,303,214,186,17,2258,7719,910,-169,6921,0
42,03:30,0,2600,896,302,215,186,16,2258,7756,909,-167,6860,0
43,03:35,0,2563,894,301,214,186,17,2257,7830,899,-164,6858,0
44,03:40,0,2586,887,301,214,187,16,2256,7874,883,-170,6865,0
45,03:45,0,2617,884,299,214,187,16,2257,7940,870,-167,6842,0
46,03:50,-1,2592,885,299,214,187,16,2258,7904,874,-166,6959,0
47,03:55,-1,2564,886,300,214,187,16,2258,7858,905,-156,7029,0
48,04:00,-1,2505,884,300,214,187,15,2258,7889,1027,-167,6946,0
49,04:05,-1,2459,883,300,213,193,16,2258,7891,1076,-168,6923,0
50,04:10,-1,2423,876,300,209,208,16,2257,7905,1151,-111,6878,0
51,04:15,-1,2393,872,299,203,208,17,2258,7905,1198,-84,6820,0
52,04:20,-1,2414,871,298,200,207,17,2259,8063,1204,-133,6746,0
53,04:25,-1,2449,870,299,201,207,17,2258,8269,1162,-181,6702,0
54,04:30,-1,2445,869,298,201,207,17,2260,8438,1130,-183,6679,0
55,04:35,-1,2413,873,297,200,208,18,2259,8624,1150,-168,6585,0
56,04:40,-1,2414,876,298,200,208,17,2259,8628,1170,-131,6560,0
57,04:45,-1,2400,879,296,200,207,16,2259,8602,1169,-67,6601,0
58,04:50,-1,2374,875,298,201,206,16,2259,8577,1161,-7,6628,0
59,04:55,-1,2365,878,296,201,205,16,2258,8559,1203,6,6713,0
60,05:00,-1,2343,881,294,200,204,17,2260,8585,1288,-48,6863,0
61,05:05,17,2301,880,298,200,202,17,2260,8524,1449,13,7076,0
62,05:10,45,2295,880,299,200,228,17,2259,8317,1539,87,7230,0
63,05:15,55,2275,880,298,201,228,17,2259,8430,1549,88,7277,0
64,05:20,65,2258,880,300,200,227,17,2259,8558,1586,93,7254,0
65,05:25,65,2267,879,296,200,226,16,2259,8762,1511,55,7238,0
66,05:30,62,2244,879,296,200,226,17,2260,8969,1473,29,7267,0
67,05:35,62,2258,879,299,200,243,17,2259,9085,1490,37,7275,0
68,05:40,62,2314,881,300,200,243,17,2259,9072,1562,62,7280,0
69,05:45,62,2370,880,301,200,245,17,2260,9109,1563,140,7269,0
70,05:50,62,2403,881,302,200,245,17,2260,9400,1540,248,6978,0
71,05:55,62,2434,881,303,200,269,16,2260,9495,1537,309,6935,0
72,06:00,71,2471,881,302,199,286,16,2259,9533,1542,322,6930,0
73,06:05,94,2500,880,299,200,284,16,2259,9544,1696,143,7454,0
74,06:10,104,2520,880,296,199,285,16,2260,9494,1763,181,7826,0
75,06:15,103,2519,880,295,199,285,17,2259,9576,1777,295,7822,0
76,06:20,104,2524,880,296,199,285,17,2259,9768,1831,221,7770,0
77,06:25,104,2554,880,297,199,285,16,2259,9786,1932,305,7788,0
78,06:30,104,2553,879,299,199,285,15,2259,9746,1968,360,7795,0
79,06:35,110,2551,879,299,200,285,15,2260,9919,1981,420,7776,0
80,06:40,122,2565,879,298,200,285,15,2260,10067,1999,549,7638,0
81,06:45,148,2566,878,299,199,285,16,2259,10253,1994,472,7553,0
82,06:50,204,2590,879,314,200,286,15,2259,10381,2000,533,7463,0
83,06:55,292,2608,878,311,199,286,16,2259,10429,2001,539,7412,0
84,07:00,425,2647,877,311,198,286,15,2260,10516,1959,550,7280,0
85,07:05,610,2660,879,310,199,285,15,2260,10678,1873,555,7206,0
86,07:10,878,2653,878,309,198,284,15,2259,10719,1889,543,7132,0
87,07:15,1197,2657,878,309,198,284,15,2259,10529,1901,606,7045,0
88,07:20,1560,2684,878,310,199,284,15,2258,10200,1889,559,7077,0
89,07:25,1991,2716,879,309,198,284,15,2259,9934,1863,457,6956,0
90,07:30,2449,2754,879,311,198,285,15,2259,9755,1741,319,6833,0
91,07:35,2961,2761,878,309,198,286,15,2259,9339,1697,359,6885,0
92,07:40,3498,2791,879,309,198,285,15,2259,8686,1706,291,6874,0
93,07:45,4044,2864,879,310,198,286,15,2259,8330,1613,286,6656,0
94,07:50,4599,2934,879,310,198,285,14,2259,7939,1533,263,6426,0
95,07:55,5172,2987,879,310,198,285,16,2259,7608,1470,156,6254,0
